,ID,dict_param,wallet,algo_percentage,perf_algo_vs_hold,nb_Good_trade,Average_Good_trade,Best_trade,nb_Bad_trade,Average_Bad_trade,Worst_trade,worst_draw_back,total_fee
12,609.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.978, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 10}",6941.127623889715,594.1127623889715,-1390.0062306099812,329.0,2.48,24.8,796.0,-0.72,-12.58,-38.0,1268.22
13,610.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 18, 'signal_stoch_rsi': 10}",2674.5741069285286,167.45741069285287,-463.602866040039,401.0,1.86,24.8,958.0,-0.64,-12.74,-56.00000000000001,871.86
14,611.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 7}",4318.014025197383,331.80140251973825,-820.445517538571,367.0,2.21,23.67,1012.0,-0.62,-20.55,-37.0,1233.74
15,612.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",3879.725823460163,287.97258234601634,-725.2793223586588,347.0,2.14,24.8,802.0,-0.71,-12.17,-30.0,897.84
16,613.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.146, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1601.5551028041057,60.15551028041056,-230.6165899470213,174.0,3.0,22.5,651.0,-0.68,-20.53,-49.0,368.76
17,614.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.234, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1558.668545825459,55.8668545825459,-221.30456549405343,181.0,2.94,22.5,644.0,-0.71,-20.53,-50.0,360.46
18,615.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 8, 'signal_stoch_rsi': 10}",1534.5475892710638,53.45475892710637,-216.06714488751368,184.0,2.84,22.5,681.0,-0.66,-20.53,-52.0,395.6
19,616.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 11, 'signal_stoch_rsi': 10}",1629.6672671166773,62.96672671166773,-236.72062766762596,171.0,3.12,22.5,642.0,-0.7,-20.53,-56.99999999999999,374.48
20,617.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 10}",1644.2867834034498,64.42867834034499,-239.89498585219118,174.0,3.03,22.5,651.0,-0.68,-20.53,-52.0,380.26
21,618.0,"{'stoch_top': 0.228, 'stoch_bottom': 0.2, 'trix_length': 22, 'trix_signal': 10, 'signal_stoch_rsi': 11}",1599.296935719199,59.9296935719199,-230.12627063498124,168.0,3.04,22.8,655.0,-0.66,-20.12,-49.0,371.94
22,619.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.174, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 11}",4006.5528725201957,300.65528725201955,-752.8174756949785,375.0,1.25,22.8,850.0,-0.37,-11.62,-20.0,968.04
23,620.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.25, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 11}",5302.39522662443,430.23952266244294,-1034.1857304284672,380.0,1.35,22.8,843.0,-0.39,-11.62,-22.0,1223.98
24,621.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 28, 'signal_stoch_rsi': 11}",3897.165587643318,289.71655876433175,-729.0660453312767,368.0,1.3,22.8,859.0,-0.38,-11.62,-19.0,917.19
25,622.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 13}",2201.6622401412355,120.16622401412356,-360.91878091251,295.0,1.07,13.66,600.0,-0.38,-11.62,-28.000000000000004,515.07
26,623.0,"{'stoch_top': 0.188, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",3781.9989018252713,278.19989018252716,-704.0597247017404,346.0,2.14,24.8,795.0,-0.71,-12.17,-32.0,873.98
27,624.0,"{'stoch_top': 0.236, 'stoch_bottom': 0.8, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",3407.1669081678606,240.71669081678607,-622.6718741351765,347.0,2.14,24.8,814.0,-0.71,-12.58,-34.0,854.43
28,625.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.65, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",4226.316272697116,322.6316272697116,-800.5350427016698,366.0,1.91,24.8,843.0,-0.62,-12.68,-36.0,967.43
29,626.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.834, 'trix_length': 6, 'trix_signal': 25, 'signal_stoch_rsi': 11}",3791.0923651904936,279.1092365190494,-706.034202467845,337.0,2.24,24.8,792.0,-0.73,-13.26,-30.0,864.28
30,627.0,"{'stoch_top': 0.2, 'stoch_bottom': 0.8, 'trix_length': 7, 'trix_signal': 25, 'signal_stoch_rsi': 11}",5131.848842325346,413.1848842325346,-997.1547302073708,343.0,2.23,24.8,818.0,-0.69,-12.17,-27.0,1102.72
